1.1.1,48125360,Paige Chen,M,25/03/2024,31/03/2024,3/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,91.69,17.36,14.39,20.99,7.93,0,2.97,2025
1.1.1,48125379,Sherri Melton,M SL,25/03/2024,31/03/2024,3/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,91.69,17.36,14.39,20.99,7.93,13.68,2.97,2025
1.1.1,48125387,Gretchen Hill,ME,25/03/2024,31/03/2024,3/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,81.69,17.36,14.39,20.99,7.93,0,2.97,2025
1.1.1,48125395,Karen Puckett,ME SL,25/03/2024,31/03/2024,3/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,81.69,17.36,14.39,20.99,7.93,13.68,2.97,2025
1.1.1,48125409,Patrick Song,SB SL,25/03/2024,31/03/2024,3/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,69.93,17.36,14.39,20.99,7.93,69.36,2.97,2025
1.1.1,48125417,Elsie Hamilton,S,25/03/2024,31/03/2024,3/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,110.39,17.36,14.39,20.99,7.93,0,2.97,2025
1.1.1,48125425,Hazel Bender,SB,25/03/2024,31/03/2024,3/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,69.93,17.36,14.39,20.99,7.93,0,2.97,2025
1.1.1,48125433,Malcolm Wagner,SH,25/03/2024,31/03/2024,3/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,182.64,17.36,14.39,20.99,7.93,0,2.97,2025
1.1.1,48125441,Dolores McLaughlin,ST,25/03/2024,31/03/2024,3/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,199.98,17.36,14.39,20.99,7.93,0,2.97,2025
1.1.1,48130070,Jack Drake,SA,25/03/2024,31/03/2024,3/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,234.66,17.36,14.39,20.99,7.93,0,2.97,2025
1.1.1,48125451,Francis McNamara,S SL,25/03/2024,31/03/2024,3/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,110.39,17.36,14.39,20.99,7.93,69.36,2.97,2025
1.1.1,48125468,Sandy Raynor,SH SL,25/03/2024,31/03/2024,3/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,182.64,17.36,14.39,20.99,7.93,69.36,2.97,2025
1.1.1,48125476,Marion Moon,ST SL,25/03/2024,31/03/2024,3/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,199.98,17.36,14.39,20.99,7.93,69.36,2.97,2025
1.1.1,48130089,Ewan Duff,SA SL,25/03/2024,31/03/2024,3/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,234.66,17.36,14.39,20.99,7.93,69.36,2.97,2025
1.1.1,48125484,Beth Woodard,CAE,25/03/2024,31/03/2024,3/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,110.39,17.36,14.39,20.99,7.93,0,2.97,2025
1.1.1,48125492,Julia Desai,EDW,25/03/2024,31/03/2024,3/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,110.39,17.36,14.39,20.99,7.93,0,2.97,2025
1.1.1,48125506,Jerome Wallace,ND,25/03/2024,31/03/2024,3/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,269.34,17.36,14.39,20.99,7.93,0,2.97,2025
1.1.1,48125514,Neal Lawrence,NSW,25/03/2024,31/03/2024,3/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,0,0,23.81,17.5,69.93,0,0,20.99,7.93,0,0,2025
1.1.2,48125360,Paige Chen,M,1/04/2024,7/04/2024,10/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,91.69,17.36,14.39,20.99,7.93,0,2.97,2025
1.1.2,48125379,Sherri Melton,M SL,1/04/2024,7/04/2024,10/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,91.69,17.36,14.39,20.99,7.93,13.68,2.97,2025
1.1.2,48125387,Gretchen Hill,ME,1/04/2024,7/04/2024,10/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,81.69,17.36,14.39,20.99,7.93,0,2.97,2025
1.1.2,48125395,Karen Puckett,ME SL,1/04/2024,7/04/2024,10/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,81.69,17.36,14.39,20.99,7.93,13.68,2.97,2025
1.1.2,48125409,Patrick Song,SB SL,1/04/2024,7/04/2024,10/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,69.93,17.36,14.39,20.99,7.93,69.36,2.97,2025
1.1.2,48125417,Elsie Hamilton,S,1/04/2024,7/04/2024,10/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,110.39,17.36,14.39,20.99,7.93,0,2.97,2025
1.1.2,48125425,Hazel Bender,SB,1/04/2024,7/04/2024,10/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,69.93,17.36,14.39,20.99,7.93,0,2.97,2025
1.1.2,48125433,Malcolm Wagner,SH,1/04/2024,7/04/2024,10/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,182.64,17.36,14.39,20.99,7.93,0,2.97,2025
1.1.2,48125441,Dolores McLaughlin,ST,1/04/2024,7/04/2024,10/04/2024,Weekly,,,578.78,0,0,,0,0,20.99,3,3,23.81,17.5,199.98,17.36,14.39,20.99,7.93,0,2.97,2025
